year,age_adjusted_rate,standard_error
2013,2.00146989813787,0.0788288046037989
2014,3.54225443419894,0.0623179790248879
2015,6.03097562844683,0.073150170333915
2016,11.0351117524793,0.0857493304134811
2017,15.3635065215784,0.0973424364265906
2018,16.7569935507624,0.101670619243159
2019,18.2016994097987,0.100553561533922
2020,26.0283735991064,0.113885946479064
2021,31.1410511390196,0.122053175463717
2022,32.3553672124852,0.12868711709041
2023,31.3356894929731,0.12626071101131
2024,20.6783166631918,0.104839124924809
